2,2,1,1,0,30
3,7,1,1,0,73
2,2,1,0,0,35
1,4,1,1,0,38
2,3,0,0,1,63
3,5,0,0,1,80
1,4,1,1,0,27
1,4,0,0,1,50
4,1,0,0,1,27
2,7,0,0,1,59
2,3,1,1,0,30
3,3,0,0,1,67
3,3,0,0,1,57
2,4,1,0,0,48
1,2,0,0,1,41
4,3,1,0,0,35
1,5,0,0,1,33
3,4,0,0,1,47
2,4,0,0,1,68
3,7,0,0,1,119
1,7,1,0,0,46
4,3,1,1,0,33
2,5,0,0,1,61
4,5,1,0,0,56
1,1,0,0,1,53
1,5,1,0,0,30
4,2,1,1,0,62
2,1,1,1,0,32
2,1,0,0,1,51
2,7,0,0,1,101
1,4,1,0,0,37
4,7,1,1,0,80
2,6,1,1,0,63
3,4,0,0,1,86
3,7,0,0,1,137
2,5,1,1,0,58
4,4,0,0,1,86
2,4,0,0,1,68
1,6,1,1,0,34
2,5,0,0,1,38
2,3,0,0,1,59
4,1,0,0,1,63
2,3,0,0,1,56
3,6,0,0,1,108
2,4,1,0,0,54
4,5,0,0,1,125
2,2,1,1,0,47
3,4,1,1,0,46
4,2,1,0,0,31
1,6,1,1,0,19
4,1,1,0,0,42
2,6,1,0,0,29
1,1,1,1,0,33
1,4,1,0,0,42
1,2,0,0,1,18
3,6,1,1,0,58
1,3,1,0,0,51
2,3,0,0,1,70
4,2,0,0,1,61
1,2,1,1,0,17
2,2,0,0,1,21
4,7,1,0,0,43
4,1,0,0,1,49
4,6,0,0,1,134
2,2,1,0,0,15
1,3,0,0,1,48
3,3,1,1,0,52
2,4,1,1,0,60
4,1,1,1,0,48
2,6,0,0,1,79
2,2,1,1,0,18
4,3,1,0,0,37
3,7,1,0,0,59
2,5,0,0,1,46
1,3,1,1,0,15
1,6,1,0,0,25
1,3,0,0,1,19
2,4,0,0,1,57
1,7,0,0,1,41
3,6,1,1,0,51
3,3,0,0,1,69
4,2,0,0,1,49
1,5,1,0,0,52
4,1,1,0,0,36
2,6,1,0,0,46
4,4,0,0,1,102
3,3,0,0,1,67
3,6,0,0,1,89
3,1,0,0,1,56
1,2,0,0,1,45
3,1,0,0,1,50
4,4,0,0,1,65
1,1,1,1,0,20
1,3,0,0,1,49
1,6,1,1,0,55
3,6,0,0,1,81
2,7,0,0,1,76
3,2,0,0,1,46
1,3,1,1,0,17
1,7,1,1,0,47
2,3,0,0,1,30
4,4,1,0,0,55
2,6,0,0,1,64
2,5,0,0,1,85
2,3,1,0,0,34
2,2,0,0,1,51
3,7,1,1,0,76
2,2,0,0,1,50
1,1,1,0,0,19
3,2,0,0,1,45
3,4,1,0,0,37
2,5,1,0,0,56
4,4,0,0,1,80
2,7,0,0,1,94
4,5,0,0,1,69
3,2,0,0,1,62
4,1,0,0,1,36
2,2,0,0,1,55
4,3,0,0,1,57
4,4,0,0,1,58
2,2,1,1,0,16
2,5,0,0,1,64
1,5,1,1,0,58
1,1,0,0,1,50
3,2,1,0,0,37
3,5,1,1,0,51
3,2,0,0,1,55
3,4,0,0,1,62
4,5,0,0,1,123
1,2,1,1,0,19
4,7,0,0,1,117
1,7,0,0,1,44
1,1,0,0,1,46
4,5,0,0,1,119
1,3,1,1,0,53
4,1,1,1,0,50
3,5,0,0,1,78
1,5,1,0,0,44
3,7,0,0,1,112
3,3,1,1,0,45
3,1,0,0,1,24
2,2,0,0,1,59
1,3,0,0,1,42
4,3,1,1,0,60
3,4,0,0,1,50
2,7,1,0,0,40
1,5,1,0,0,20
4,1,0,0,1,44
2,5,1,0,0,53
4,1,0,0,1,43
3,1,1,0,0,30
1,2,1,0,0,31
4,7,1,1,0,67
3,4,1,0,0,29
1,3,1,0,0,38
3,2,1,0,0,38
3,4,1,0,0,65
4,6,1,0,0,78
4,7,0,0,1,115
4,5,0,0,1,88
2,7,0,0,1,49
4,4,0,0,1,60
4,2,0,0,1,78
1,4,1,1,0,42
2,7,1,0,0,69
3,2,0,0,1,57
4,5,1,1,0,55
2,6,0,0,1,75
4,6,1,0,0,65
3,3,0,0,1,55
1,7,0,0,1,65
2,7,0,0,1,74
3,7,1,0,0,38
4,5,0,0,1,103
4,4,1,0,0,30
3,2,1,1,0,57
4,2,1,0,0,45
2,6,0,0,1,70
2,5,1,0,0,56
4,6,1,0,0,44
2,3,1,1,0,40
1,3,0,0,1,56
4,3,1,0,0,59
3,5,0,0,1,68
2,5,0,0,1,51
4,4,1,0,0,45
4,5,0,0,1,96
4,6,1,1,0,65
2,7,0,0,1,70
1,3,1,0,0,38
3,6,0,0,1,81
4,4,0,0,1,89
4,3,1,1,0,45
3,6,0,0,1,84
1,1,0,0,1,18
3,5,1,0,0,29
1,2,1,1,0,17
4,6,0,0,1,106
