2010-03-24,14
2010-03-25,10
2010-03-26,7
2010-03-27,8
2010-03-28,11
2010-03-29,5
2010-03-30,4
2010-03-31,14
2010-04-01,12
2010-04-02,13
2010-04-03,8
2010-04-04,7
2010-04-05,8
2010-04-06,9
2010-04-07,6
2010-04-08,14
2010-04-09,15
2010-04-10,11
2010-04-11,9
2010-04-12,6
2010-04-13,12
2010-04-14,7
2010-04-15,7
2010-04-16,14
2010-04-17,9
2010-04-18,10
2010-04-19,11
2010-04-20,13
2010-04-21,13
2010-04-22,10
2010-04-23,16
2010-04-24,16
2010-04-25,10
2010-04-26,3
2010-04-27,12
2010-04-28,12
2010-04-29,8
2010-04-30,15
2010-05-01,15
2010-05-02,10
2010-05-03,8
2010-05-04,12
2010-05-05,9
2010-05-06,7
2010-05-07,11
2010-05-08,14
2010-05-09,11
2010-05-10,5
2010-05-11,13
2010-05-12,12
2010-05-13,12
2010-05-14,14
2010-05-15,8
2010-05-16,9
2010-05-17,8
2010-05-18,5
2010-05-19,11
2010-05-20,10
2010-05-21,8
2010-05-22,12
2010-05-23,10
2010-05-24,4
2010-05-25,6
2010-05-26,11
2010-05-27,7
2010-05-28,8
2010-05-29,12
2010-05-30,5
2010-05-31,3
2010-06-01,6
2010-06-02,7
2010-06-03,11
2010-06-04,7
2010-06-05,15
2010-06-06,8
2010-06-07,7
2010-06-08,7
2010-06-09,11
2010-06-10,12
2010-06-11,9
2010-06-12,12
2010-06-13,5
2010-06-14,3
2010-06-15,8
2010-06-16,5
2010-06-17,11
2010-06-18,13
2010-06-19,15
2010-06-20,2
2010-06-21,11
2010-06-22,6
2010-06-23,13
2010-06-24,6
2010-06-25,12
2010-06-26,13
2010-06-27,3
2010-06-28,9
2010-06-29,13
2010-06-30,10
2010-07-01,12
2010-07-02,9
2010-07-03,15
2010-07-04,4
2010-07-05,5
2010-07-06,8
2010-07-07,14
2010-07-08,13
2010-07-09,15
2010-07-10,14
2010-07-11,6
2010-07-12,4
2010-07-13,4
2010-07-14,12
2010-07-15,7
2010-07-16,12
2010-07-17,16
2010-07-18,9
2010-07-19,5
2010-07-20,9
2010-07-21,12
2010-07-22,7
2010-07-23,14
2010-07-24,14
2010-07-25,3
2010-07-26,6
2010-07-27,5
2010-07-28,8
2010-07-29,6
2010-07-30,8
2010-07-31,16
2010-08-01,8
2010-08-02,7
2010-08-03,10
2010-08-04,14
2010-08-05,12
2010-08-06,8
2010-08-07,16
2010-08-08,6
2010-08-09,12
2010-08-10,8
2010-08-11,13
2010-08-12,6
2010-08-13,12
2010-08-14,13
2010-08-15,4
2010-08-16,4
2010-08-17,7
